title,director,cast,country,date_added,release_year,rating,number_of_seasons,listed_in,description
Richie Rich,Unknown,"Jake Brennan, Joshua Carlon, Lauren Taylor, Jenna Ortega, Kiff VandenHeuvel, Brooke Wexler",United States,2015-05-22T00:00:00Z,2015,TV-G,2,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."
Arrow,James Bamford,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States,2019-05-21T00:00:00Z,2019,TV-14,7,"Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
Prince of Peoria,Unknown,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",United States,2019-05-20T00:00:00Z,2019,TV-Y7,2,"Kids' TV, TV Comedies",A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.
Rosario Tijeras,Unknown,"Bárbara de Regil, José María de Tavira, Antonio Gaona, Hernán Mendoza, Vanessa Bauche, Christian Vasquez, José Sefami, Ariel López Padilla",Mexico,2019-05-20T00:00:00Z,2018,TV-MA,2,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.
Colony,Unknown,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter",United States,2019-05-02T00:00:00Z,2018,TV-14,3,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
Scandal,Unknown,"Kerry Washington, Columbus Short, Darby Stanchfield, Katie Lowes, Guillermo Díaz, Joshua Malina, Jeff Perry, Bellamy Young, Tony Goldwyn, Scott Foley",United States,2018-05-19T00:00:00Z,2018,TV-14,7,"Crime TV Shows, TV Dramas","A powerful team of Washington, D.C. lawyers makes scandals disappear while handling government crises and coping with problems of their own."
Mother Goose Club,Unknown,Unknown,United States,2017-05-19T00:00:00Z,2016,TV-Y,2,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.
Inspector Gadget,Unknown,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath",International,2018-05-18T00:00:00Z,2017,TV-Y7,4,"Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
Royal Pains,Jay Chandrasekhar,"Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle",United States,2017-05-18T00:00:00Z,2016,TV-PG,8,"TV Comedies, TV Dramas",Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes.
Nailed It,Unknown,"Nicole Byer, Jacques Torres",United States,2019-05-17T00:00:00Z,2019,TV-PG,3,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
The Rain,Unknown,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen",International,2019-05-17T00:00:00Z,2019,TV-MA,2,"International TV Shows, TV Dramas, TV Mysteries","Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety – and answers."
White Gold,Unknown,"Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross",United Kingdom,2019-05-17T00:00:00Z,2019,TV-MA,2,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
Call the Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",United Kingdom,2019-05-15T00:00:00Z,2018,TV-14,8,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
Sherlock,Unknown,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Andrew Scott",International,2017-05-15T00:00:00Z,2017,TV-14,4,"British TV Shows, Crime TV Shows, International TV Shows","In this updated take on Sir Arthur Conan Doyle's beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues."
Master of None,Unknown,"Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale",United States,2017-05-12T00:00:00Z,2017,TV-MA,2,TV Comedies,Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
Bill Nye Saves the World,Unknown,"Bill Nye, Karlie Kloss, Derek Muller, Emily Calandrelli, Nazeem Hussain, Joanna Hausmann",United States,2018-05-11T00:00:00Z,2018,TV-14,3,Stand-Up Comedy & Talk Shows,Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives.
Ha Unlimited,Unknown,"Tuck Boriboon, Ball Chernyim, Na’Kom Chuanchuen",Unknown,2018-05-11T00:00:00Z,2016,TV-14,2,"International TV Shows, TV Comedies","Three comedians launch a company designed to spread happiness far and wide in this Thai sitcom packed with gags, sound effects and special guests."
Easy,Unknown,"Aubrey Plaza, Judy Greer, Jane Adams, Zazie Beetz, Kate Berlant, Aya Cash, Michael Chernus, Kiersey Clemons, Orlando Bloom, Malin Akerman, Marc Maron, Dave Franco, Hannibal Buress, Jake Johnson, Emily Ratajkowski, Andrew Bachelor",United States,2019-05-10T00:00:00Z,2019,TV-MA,3,"TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture."
The Mechanism,Unknown,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,2019-05-10T00:00:00Z,2019,TV-MA,2,"Crime TV Shows, International TV Shows, TV Dramas",A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
Code Geass: Lelouch of the Rebellion,Unknown,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan,2019-05-01T00:00:00Z,2008,TV-14,2,"Anime Series, International TV Shows",A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
LoliRock,Unknown,"Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni",International,2018-05-01T00:00:00Z,2016,TV-Y,2,Kids' TV,A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.
Yu-Gi-Oh! Arc-V,Unknown,"Mike Liscio, Emily Bauer, Billy Bob Thompson, Alyson Leigh Rosenfeld, Michael Crouch",International,2018-05-01T00:00:00Z,2015,TV-Y7,2,"Anime Series, Kids' TV","Now that he's discovered the Pendulum Summoning technique, Yuya's dream of becoming the greatest ""dueltainer"" is in reach – but it won't be easy!"
Club Friday The Series 6,Unknown,"Puttichai Kasetsin, Kongtoranin Lalana, Preechaya Pongthananikorn",Unknown,2019-03-09T00:00:00Z,2015,TV-14,9,"International TV Shows, Romantic TV Shows, TV Dramas","Based on a Thai radio show that gives love advice to callers, this series dramatizes stories of infidelity, love triangles, sexual identity and more."
Love,Unknown,"Gillian Jacobs, Paul Rust, Claudia O'Doherty",United States,2018-03-09T00:00:00Z,2018,TV-MA,3,"Romantic TV Shows, TV Comedies, TV Dramas",Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow.
Hunter X Hunter (2011),Unknown,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",Japan,2019-03-08T00:00:00Z,2013,TV-MA,3,"Anime Series, International TV Shows","To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
Hap and Leonard,Unknown,"James Purefoy, Michael Kenneth Williams, Jimmi Simpson, Bill Sage, Christina Hendricks, Pollyanna McIntosh, Jeff Pope, Neil Sandilands, Henry G. Sanders, Enrique Murciano",United States,2019-03-06T00:00:00Z,2018,TV-MA,3,"Crime TV Shows, TV Dramas","In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
Secret City,Unknown,"Anna Torv, Jacki Weaver, Dan Wyllie, Alex Dimitriades, Damon Herriman, Mekhi Phifer, Eugenia Yuan, Matt Zeremes, Alan Dale",Australia,2019-03-06T00:00:00Z,2016,TV-MA,2,"International TV Shows, TV Dramas, TV Mysteries",A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists.
Rectify,Unknown,"Aden Young, Abigail Spencer, J. Smith-Cameron, Clayne Crawford, Luke Kirby, Adelaide Clemens, Jake Austin Walker, Jayson Warner Smith, Bruce McKinnon, J.D. Evermore, Michael O'Neill, Sean Bridgers, Johnny Ray Gill, Sharon Conley, Michael Vartan",United States,2017-03-04T00:00:00Z,2016,TV-14,4,"Crime TV Shows, TV Dramas, TV Mysteries","Convicted of rape and murder at age 18, Daniel Holden spends nearly 20 years on death row until DNA evidence brings the verdict into question."
Dad's Army,Unknown,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee",United Kingdom,2018-03-31T00:00:00Z,1977,TV-PG,10,"British TV Shows, Classic & Cult TV, TV Comedies",This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.
Days We Stared at the Sun,Unknown,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung",Taiwan,2018-03-31T00:00:00Z,2017,TV-MA,2,"International TV Shows, TV Dramas",A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.
Doctor Foster,Unknown,"Suranne Jones, Bertie Carvel, Clare-Hope Ashitey, Cheryl Campbell, Jodie Comer, Victoria Hamilton, Martha Howe-Douglas, Adam James, Thusitha Jayasundera, Sara Stewart, Neil Stuke, Tom Taylor, Robert Pugh, Shazia Nicholls, Cian Barry, Megan Roberts, Charlie Cunniffe, Navin Chowdhry",United Kingdom,2018-03-31T00:00:00Z,2017,TV-MA,2,"British TV Shows, International TV Shows, Romantic TV Shows","When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession."
Father Brown,Ian Barber,"Mark Williams, Sorcha Cusack, Nancy Carroll, Alex Price, Hugo Speer, Tom Chambers, Keith Osborn",United Kingdom,2018-03-31T00:00:00Z,2017,TV-14,6,"British TV Shows, Crime TV Shows, TV Dramas","A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton."
ViR: The Robot Boy,Unknown,"Vidit Kumar, Roopa Bhimani, Anubhav Saha, Brian Dcosta",Unknown,2018-03-31T00:00:00Z,2013,TV-Y7,2,Kids' TV,"Humanoid robot boy ViR lives with his inventor, Dr. Prem Sahay, and, with his best friends, is always ready to use his superpowers to save the day."
Wake Up,Unknown,"Jag Huang, Chris Wu, Tiffany Hsu, Michael Huang, Lego Li, Summer Meng",Unknown,2018-03-31T00:00:00Z,2017,TV-14,2,"International TV Shows, TV Dramas","After taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system."
Yu-Gi-Oh!,Unknown,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",Japan,2018-03-31T00:00:00Z,2005,TV-Y7,5,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
Extras,Unknown,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye",International,2017-03-31T00:00:00Z,2006,TV-MA,2,"British TV Shows, TV Comedies","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras."
Hoff the Record,Gordon Anderson,"David Hasselhoff, Asim Chaudhry, Fergus Craig, Mark Quartley, Ella Smith, Brett Goldstein",United Kingdom,2017-03-31T00:00:00Z,2016,TV-MA,2,"British TV Shows, TV Comedies","TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails."
The House That Made Me,Unknown,Vinay Pathak,India,2017-03-31T00:00:00Z,2015,TV-PG,3,"International TV Shows, Reality TV","With host Vinay Pathak, Indian celebrities return to their childhood homes to reconnect with the past and share stories of their journey to success."
Weird Wonders of the World,Unknown,Chris Packham,United Kingdom,2017-03-31T00:00:00Z,2016,TV-PG,2,"British TV Shows, Docuseries, Science & Nature TV","From animal oddities and bizarre science to medical marvels, scientists and experts examine some of the world's strangest mysteries and phenomena."
Republic of Doyle,Unknown,"Allan Hawco, Krystin Pellerin, Marthe Bernard, Mark O'Brien, Sean McGinley, Lynda Boyd, Bob Cole, Steve O'Connell, Sean Panting, Rachel Wilson",Canada,2016-03-31T00:00:00Z,2014,TV-14,6,"Crime TV Shows, TV Comedies, TV Dramas",A pair of father and son private investigators tries to keep their combustible personal lives in check while tackling an intriguing array of cases.
How to Get Away with Murder,Unknown,"Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil",United States,2019-03-30T00:00:00Z,2018,TV-14,5,"Crime TV Shows, TV Dramas, TV Mysteries","Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
Trailer Park Boys,Unknown,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",Canada,2018-03-30T00:00:00Z,2018,TV-MA,12,"Classic & Cult TV, Crime TV Shows, International TV Shows",Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
On My Block,Unknown,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Julio Macias, Jessica Marie Garcia, Ronni Hawk, Peggy Ann Blow, Paula Garcés, Danny Ramirez",United States,2019-03-29T00:00:00Z,2019,TV-14,2,"Romantic TV Shows, TV Comedies, TV Dramas","In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school."
Santa Clarita Diet,Unknown,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",United States,2019-03-29T00:00:00Z,2019,TV-MA,3,"TV Comedies, TV Horror, TV Thrillers",They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.
Versailles,Unknown,"George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman, Evan Williams, Elisa Lasowski, Joe Sheridan, Steve Cumyn, Anna Brewster, Maddison Jaizani, Pip Torrens, Catherine Walker, Lizzie Brocheré, Geoffrey Bateman",International,2019-03-29T00:00:00Z,2018,TV-MA,3,"International TV Shows, TV Dramas",King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility.
Hyori's Bed & Breakfast,Unknown,"Hyo-ri Lee, Sang-soon Lee, Ji-eun Lee",Unknown,2018-03-29T00:00:00Z,2018,TV-PG,2,"International TV Shows, Korean TV Shows, Reality TV","K-pop diva Lee Hyo-ri and her husband open up their home on the beautiful Jeju Island to welcome travelers for free stays, meals and late-night chats."
